Job Code,Grade,Salary,Original Hire Date,Run Date,Tenure
11040,8,118000,3/4/2009,6/1/2024,5568
11120,7,85000,6/3/2009,6/1/2024,5477
10041,7,75000,5/19/2010,6/1/2024,5127
11090,6,78733.2,5/19/2010,6/1/2024,5127
11120,7,86424,5/25/2011,6/1/2024,4756
11100,6,69516.59,8/8/2012,6/1/2024,4315
11981,6,79076.55,10/4/2013,6/1/2024,3893
11050,7,81370,10/14/2013,6/1/2024,3883
11090,6,94954.72,1/24/1994,6/1/2024,11086
11100,6,73698.56,3/1/2016,6/1/2024,3014
10780,6,69222.4,7/12/2016,6/1/2024,2881
11100,6,75712,2/5/2018,6/1/2024,2308
11100,6,74242.4,6/25/2018,6/1/2024,2168
11050,7,93000,8/16/2021,6/1/2024,1020
11050,7,109200,4/4/2022,6/1/2024,789
11100,6,78197.6,9/6/2022,6/1/2024,634
12190,6,84448,12/27/2022,6/1/2024,522
11100,6,72800,6/5/2023,6/1/2024,362
11100,6,78000,12/11/2023,6/1/2024,173
11050,7,100000,2/19/2024,6/1/2024,103
11100,6,75000,3/12/2024,6/1/2024,81
16750,6,87796.8,5/7/2014,6/1/2024,3678
11720,3,51937.6,8/30/2006,6/1/2024,6485
11600,1,42744,9/18/2007,6/1/2024,6101
11800,3,49899.2,12/10/2014,6/1/2024,3461
11800,3,50814.4,3/24/2010,6/1/2024,5183
11700,3,51043.2,4/21/2010,6/1/2024,5155
12430,4,56284.8,4/28/2010,6/1/2024,5148
11800,3,52000,8/18/2010,6/1/2024,5036
11570,2,49254.4,9/1/2010,6/1/2024,5022
11810,4,58240,8/17/2011,6/1/2024,4672
11800,3,49192,8/31/2011,6/1/2024,4658
11800,3,49212.8,10/19/2011,6/1/2024,4609
11810,4,57116.8,1/18/2012,6/1/2024,4518
11830,4,54371.2,6/27/2012,6/1/2024,4357
12020,2,47008,9/5/2012,6/1/2024,4287
11570,2,54038.4,10/31/2012,6/1/2024,4231
11700,3,49608,11/7/2012,6/1/2024,4224
11600,1,39291.2,11/28/2012,6/1/2024,4203
11800,3,49608,2/13/2013,6/1/2024,4126
12020,2,44761.6,8/7/2013,6/1/2024,3951
11700,3,50086.4,9/18/2013,6/1/2024,3909
11600,1,42307.2,11/11/2013,6/1/2024,3855
11810,4,57657.6,2/5/2014,6/1/2024,3769
11710,2,47008,5/7/2014,6/1/2024,3678
12100,4,53976,5/22/2014,6/1/2024,3663
11810,4,54641.6,6/10/2014,6/1/2024,3644
11800,3,48921.6,6/18/2014,6/1/2024,3636
11810,4,54433.6,8/6/2014,6/1/2024,3587
11790,2,45843.2,9/15/2014,6/1/2024,3547
16730,6,75524.8,4/19/1998,6/1/2024,9540
11570,2,52977.6,3/9/2015,6/1/2024,3372
11810,4,56680,3/9/2015,6/1/2024,3372
11780,3,53913.6,3/18/2015,6/1/2024,3363
11700,3,48963.2,3/30/2015,6/1/2024,3351
11700,3,49192,4/6/2015,6/1/2024,3344
12730,4,66664,7/3/2013,6/1/2024,3986
11790,2,45032,6/13/2014,6/1/2024,3641
11700,3,49504,5/22/2015,6/1/2024,3298
11800,3,51916.8,9/22/2015,6/1/2024,3175
11780,3,48505.6,10/13/2015,6/1/2024,3154
12020,2,39624,12/14/2015,6/1/2024,3092
11700,3,44553.6,2/4/2016,6/1/2024,3040
12100,4,54288,3/8/2016,6/1/2024,3007
11800,3,53435.2,5/24/2016,6/1/2024,2930
12050,2,56908.8,5/31/2016,6/1/2024,2923
11810,4,53705.6,6/7/2016,6/1/2024,2916
11570,2,54620.8,6/7/2016,6/1/2024,2916
11800,3,49608,9/20/2016,6/1/2024,2811
11790,2,46259.2,9/20/2016,6/1/2024,2811
11700,3,48796.8,10/11/2016,6/1/2024,2790
11790,2,49732.8,10/18/2016,6/1/2024,2783
11770,2,43430.4,10/18/2016,6/1/2024,2783
11790,2,42057.6,2/7/2017,6/1/2024,2671
11800,3,45822.4,5/2/2017,6/1/2024,2587
11790,2,45468.8,6/6/2017,6/1/2024,2552
11790,2,46030.4,6/27/2017,6/1/2024,2531
